text,risk_category,risk_severity
"SmartThings, trought Samsung, claims to be CCPA compliant for California users",Jurisdiction risk,none
SmartThings tracks you on other websites,Personal data usage,medium
You must create an account to use SmartThings,Account responsibility,low
SmartThings ignores the Do Not Track (DNT) header and tracks users anyway even if they set this header.,Personal data usage,low
Products and Services are provided 'as is' and to be used at the users' sole risk,Data security and Liability,low
SmartThings can license user content to third parties,Third party dependency risk,medium
Your SmartThings profile is combined across various products and services,Personal data usage,medium
"SmartThings may change its terms at any time, but the user will receive notification of the changes.",Policy change risk,low
SmartThings provides a free help desk,Change of service risk,none
SmartThings keeps a license on user-generated content even after users close their accounts.,Irrevocable rights,medium
SmartThings can distribute your content through any media known now or in the future,Future scope expansion,low
Your account can be deleted or permanently suspended without prior notice and without a reason,Account termination risk,medium
The court of law governing the terms is in Japan,Jurisdiction risk,low
Alternative accounts are not allowed,Account responsibility,low
The court of law governing the terms is in Sweden,Jurisdiction risk,low
"Logs are deleted after 14 days, only necessary data is kept",Personal data usage,none
Some parts of their service are open-source,Change of service risk,none
Refund is not allowed if the wrong item is purchased,Financial commitment risk,low
Prohibits harming minors in any ways,Account responsibility,low
Prohibits discussions which are against the government-advocated value,Account responsibility,high
Users agree to comply with the French law,Jurisdiction risk,low
You must create an account to use all of this service,Account responsibility,low
The court of law governing the terms is in State of Western Australia,Jurisdiction risk,low
2014/06/03 is a date of the last update of the agreements,Policy change risk,low
Omegle is only available to users over a certain age,Access restriction,low
"Omegle collects your IP address, which can be used to view your approximate location",Personal data usage,low
Google Analytics cookies are used for statistics,Third party dependency risk,medium
"Omegle employs third-party adversiting cookies, but with opt-out instructions",Third party dependency risk,medium
Users can access most of the pages on the service's website without revealing any personal information,Personal data usage,none
07.09.2023 is a date of the last update of the agreements,Policy change risk,low
This service is a subsidiary of mail.de GmbH,Third party dependency risk,low
A phone number is required for registration,Personal data usage,medium
This service is a subsidiary of mail.de,Third party dependency risk,low
This service provides archives of their Privacy policy so that changes can be viewed over time,Policy change risk,none
Dark Reader does not track you,Personal data usage,none
IP addresses are not tracked,Personal data usage,none
Magic Earth can delete your account without prior notice and without a reason,Account termination risk,medium
Magic Earth receives your precise location through GPS coordinates,Personal data usage,medium
An onion site accessible over Tor is provided,Data security and Liability,none
The service scans your uploaded files and images for advertising profiling,Personal data usage,high
Your camera or microphone may be activated without visible indication,Personal data usage,high
Your device contacts are uploaded to our servers upon installation,Personal data usage,high
The service monitors your keystrokes and clipboard activity,Personal data usage,high
Deleted messages are kept indefinitely in our systems,Personal data usage,high
Your offline behavior is inferred from sensor data on your device,Personal data usage,high
All files you share are permanently stored even after you remove them,User content rights risk,high
The service can access your entire photo library without restriction,Personal data usage,high
"This service logs every search query you enter, permanently",Personal data usage,high
Your browsing data within the app is sold to data brokers,Personal data usage,high
The service can impersonate you on third-party platforms,User content rights risk,high
Your health data is used for purposes beyond the service's core function,Personal data usage,high
You cannot appeal or dispute account termination decisions,Legal remedy limitation,high
The service retains your data for up to 10 years after account deletion,Personal data usage,high
Your private notes or drafts are readable by service staff,Personal data usage,high
You grant the service rights to use your likeness in promotional materials,Irrevocable rights,high
The service may share your financial transaction data with third parties,Third party dependency risk,high
The service records all voice commands for training AI models permanently,Personal data usage,high
You agree not to discuss the terms of this agreement publicly,Account responsibility,high
This service collects your social security number or national ID,Personal data usage,high
The service can share your data with law enforcement without a court order,Rule usage enforcement,high
The service may modify your uploaded content without notice,User content rights risk,high
Your purchase history is shared with your employer if using a corporate account,Third party dependency risk,high
The service discloses your IP address and usage data to advertisers,Personal data usage,high
You are automatically enrolled in beta programs that collect additional data,Personal data usage,high
The service retains backups of your data in jurisdictions with no privacy laws,Jurisdiction risk,high
The service can terminate your subscription mid-cycle without refund,Account termination risk,high
User-generated reviews may be altered or deleted to protect the service's reputation,User content rights risk,high
The service monitors your network traffic while the app runs in the background,Personal data usage,high
Your data may be used to make automated decisions with legal consequences,Rule usage enforcement,high
This service publishes a transparency report at least once a year,Data security and Liability,none
You can download all your data in a machine-readable format at any time,Personal data usage,none
Third-party auditors regularly verify this service's security practices,Data security and Liability,none
This service does not profile you based on sensitive categories of data,Personal data usage,none
Users are notified immediately if a data breach affects their account,Data security and Liability,none
You can permanently delete your account and all associated data instantly,Account termination risk,none
This service does not monetize user data in any form,Personal data usage,none
The service stores your data only within the European Economic Area,Jurisdiction risk,none
You retain full copyright over all content you post on this service,User content rights risk,none
This service provides end-to-end encryption for all stored data,Data security and Liability,none
The service does not share any user data with government authorities without a court order,Rule usage enforcement,none
Account suspension decisions are always reviewed by a human before action is taken,Rule usage enforcement,none
You will always have an opt-out option for any new data collection feature,Policy change risk,none
This service does not use dark patterns to manipulate user consent,Policy change risk,none
Your data is automatically deleted 30 days after account deletion,Personal data usage,none
The service provides plain-English summaries of every clause in its terms,Policy change risk,none
This service does not engage in cross-context behavioral advertising,Personal data usage,none
A dedicated privacy officer handles all user data requests within 72 hours,Personal data usage,none
You can opt out of all non-essential communications in a single step,Personal data usage,none
This service is audited for accessibility and inclusivity annually,Data security and Liability,none
Cookies are categorized and explained before being set on your device,Personal data usage,none
This service allows anonymous usage without requiring account creation,Personal data usage,none
The service does not retain logs of your activity after your session ends,Personal data usage,none
User content is never used to train machine learning models without explicit opt-in,User content rights risk,none
This service uses open-source encryption libraries that can be publicly audited,Data security and Liability,none
The service provides a public changelog for all updates to its privacy policy,Policy change risk,none
You can transfer your account data to a competing service at no cost,Change of service risk,none
This service does not collect data from users under the age of 18,Access restriction,none
Personal data is never used for purposes beyond those stated at time of collection,Personal data usage,none
All employees with access to user data are subject to strict confidentiality agreements,Data security and Liability,none
The service may share your data with its parent company and all subsidiaries,Third party dependency risk,medium
Your account activity may be used to calculate a trust or risk score,Rule usage enforcement,medium
Terms of service apply to family members who use your account,Account responsibility,medium
You may be subject to promotional messages from partner companies,Third party dependency risk,medium
The service may display your username publicly in activity feeds,Personal data usage,medium
Unused credits or balances may expire after 12 months of inactivity,Financial commitment risk,medium
The service may share your data with research institutions for academic purposes,Third party dependency risk,medium
The service is not responsible for content accuracy provided by third parties,Data security and Liability,medium
You may be required to update the app to continue using the service,Change of service risk,medium
The service may limit your data export to once every 90 days,Access restriction,medium
The service may use your email address to send administrative notices without opt-out,Personal data usage,medium
Service availability is not guaranteed and outages may occur without prior notice,Data security and Liability,medium
Your account may be restricted if you use a VPN or anonymization tool,Access restriction,medium
The service may change its pricing model from free to paid without substantial notice,Financial commitment risk,medium
The service may run A/B experiments on your experience without disclosing this,Change of service risk,medium
Your data may be stored on servers in countries with lower privacy protections,Jurisdiction risk,medium
The service may restrict your account if you consistently contact support,Account termination risk,medium
The service may use your data to improve its automated decision systems,Personal data usage,medium
Chargebacks or payment disputes may result in immediate account suspension,Account termination risk,medium
The service may require re-verification of your identity periodically,Account responsibility,medium
The service collects data on how long you spend on each part of the interface,Personal data usage,medium
Third-party integrations may collect additional data outside this policy,Third party dependency risk,medium
The service may retain a copy of your identity documents after verification,Personal data usage,medium
Referral bonuses may be revoked if the referred user later violates terms,Financial commitment risk,medium
The service may monitor usage patterns to enforce undisclosed fair use limits,Rule usage enforcement,medium
You consent to receiving push notifications by default upon installing the app,Personal data usage,medium
The service may use your data to create lookalike audiences for advertisers,Personal data usage,medium
The service may automatically renew subscriptions unless cancelled 7 days in advance,Financial commitment risk,medium
Your data may be used to benchmark the service's performance against competitors,Personal data usage,medium
The service may place restrictions on how you export or use your own data,Access restriction,medium
The service may charge a fee to process a data access or deletion request,Financial commitment risk,medium
The service may limit the number of devices you can use simultaneously,Access restriction,medium
The service may alter the features available in your subscription tier without notice,Change of service risk,medium
This service collects your search history within the platform for profiling,Personal data usage,medium
The service may suspend your account based on reports from other users without investigation,Account termination risk,medium
Data collected from your use of free features may be used to fund paid services,Personal data usage,medium
The service may share anonymized usage data with industry consortiums,Third party dependency risk,medium
The service may use dark patterns in notification design to maximize engagement,Change of service risk,medium
"Your login metadata, including time and location, is stored permanently",Personal data usage,medium
You cannot use the service to discuss competitors' products,Account responsibility,medium
The service may impose additional charges for premium support,Financial commitment risk,medium
The service uses anonymized data to improve product recommendations,Personal data usage,low
Users may be required to complete identity verification for certain features,Access restriction,low
The service may include affiliate links in its content,Third party dependency risk,low
Your content may be reviewed for compliance with community guidelines,Rule usage enforcement,low
The service may discontinue features with 30 days notice,Change of service risk,low
The service uses aggregated analytics to understand user behavior trends,Personal data usage,low
Users must agree to receive occasional service-related announcements,Account responsibility,low
The service may use industry-standard third-party payment processors,Third party dependency risk,low
The service may limit free tier accounts to a specific storage quota,Access restriction,low
You may not reverse-engineer or decompile the service's software,Account responsibility,low
The service may suspend your account temporarily during a security investigation,Account termination risk,low
The service may use first-party analytics to improve user experience,Personal data usage,low
The service may adjust the order of content in your feed based on engagement data,Change of service risk,low
Some features of the service may not be available in all geographic regions,Access restriction,low
The service may require users to verify their email address before accessing all features,Access restriction,low
This service uses session replay tools to troubleshoot user interface issues,Personal data usage,low
The service may introduce account tiers with differentiated feature sets,Change of service risk,low
The service may collect anonymous crash reports to improve stability,Personal data usage,low
Content you submit may be reviewed if flagged by automated systems,Rule usage enforcement,low
Users are responsible for maintaining the confidentiality of their login credentials,Account responsibility,low
The service may use hashed identifiers to match your data across platforms,Personal data usage,low
You consent to your content being indexed by the service's internal search engine,User content rights risk,low
The service may send you notifications about relevant changes to applicable law,Policy change risk,low
The service may outsource customer support to third-party contractors,Third party dependency risk,low
The service may retain technical logs for up to 90 days for security purposes,Personal data usage,low
Users agree not to create false identities or impersonate others on the service,Account responsibility,low
The service may rate-limit requests from accounts showing unusual activity,Access restriction,low
This service may use cookies to remember your language and display preferences,Personal data usage,low
The service may send push notifications for activity related to your account,Personal data usage,low
The service may use your content to generate previews or thumbnails,User content rights risk,low
Users agree not to use the service to conduct unauthorized commercial activity,Account responsibility,low
The service may use third-party cloud providers to host its infrastructure,Third party dependency risk,low
You may not sublicense or resell access to the service to others,Account responsibility,low
The service may apply geographic restrictions on certain premium content,Access restriction,low
The service may use legitimate interest as a lawful basis for some data processing,Personal data usage,low
Users who violate terms may be banned from re-registering under a new account,Account termination risk,low
Content flagged by multiple users may be temporarily hidden pending review,Rule usage enforcement,low
The service may use your publicly shared information for service improvement,Personal data usage,low
The service is not liable for interruptions caused by third-party infrastructure failures,Data security and Liability,low
The service may implement new security measures that require additional user actions,Change of service risk,low
User data may be processed by subcontractors bound by data processing agreements,Third party dependency risk,low
The service may charge different prices in different currencies due to regional factors,Financial commitment risk,low
You must be a legal resident of a country where the service is available to register,Jurisdiction risk,low
The service may add new features that are enabled by default for existing users,Change of service risk,low
You waive your right to any legal remedy in case of data misuse,Legal remedy limitation,high
The service can share your private communications with third-party advertisers,Personal data usage,high
The service may sell your personal data to political campaigns or advocacy groups,Personal data usage,high
You cannot request deletion of data the service deems necessary to retain,Personal data usage,high
The service installs persistent tracking software on your device without disclosure,Personal data usage,high
Your content is automatically licensed to all third-party partners without restriction,User content rights risk,high
The service may disclose your real identity if you use the service anonymously,Personal data usage,high
The service reserves the right to freeze your funds indefinitely without explanation,Account termination risk,high
The service aggregates your health and financial data to sell risk profiles,Personal data usage,high
"You grant the service a perpetual, irrevocable, royalty-free license to all your content",Irrevocable rights,high
The service may lock you out of your account to pressure you into upgrading,Account termination risk,high
The service can activate your device's location services without notification,Personal data usage,high
This service tracks children's behavior to target advertising to their parents,Personal data usage,high
The service may share your mental health disclosures with insurance companies,Personal data usage,high
You give up your right to collective legal action against the service,Legal remedy limitation,high
The service may permanently delete your content without warning for any reason,User content rights risk,high
The service actively cross-references your data with public records and social networks,Personal data usage,high
This service charges a fee to access your own stored data,Financial commitment risk,high
The service may use your content to generate AI-created works and claim ownership,User content rights risk,high
The service logs your precise GPS location every time you open the app,Personal data usage,high
"This service never uses your data for advertising, regardless of your account type",Personal data usage,none
You will always be given at least 60 days notice before any price increase,Policy change risk,none
This service offers a free tier with no data-based limitations compared to paid tiers,Access restriction,none
The service publishes all law enforcement requests it receives on a public registry,Data security and Liability,none
You can dispute content moderation decisions through an independent review process,Rule usage enforcement,none
This service only uses first-party cookies strictly necessary for functionality,Personal data usage,none
Users can set a data expiry date after which all their data is automatically deleted,Personal data usage,none
This service provides a real-time dashboard showing all data collected about you,Personal data usage,none
The service never processes your data for automated profiling or scoring,Personal data usage,none
This service uses zero-knowledge architecture so even staff cannot see your data,Data security and Liability,none
The service actively notifies you when a third party requests your data,Rule usage enforcement,none
This service operates without any external investors and has no profit motive on user data,Change of service risk,none
All staff who access user data are publicly listed with their access levels,Data security and Liability,none
You can request a human review of any automated decision affecting your account,Rule usage enforcement,none
The service guarantees account recovery within 24 hours of a verified lock-out,Data security and Liability,none
This service supports privacy-preserving login via passkeys and has no password requirement,Data security and Liability,none
The service provides a detailed data flow map showing how your information moves,Personal data usage,none
You have the right to object to any processing of your personal data for profiling,Personal data usage,none
This service donates a portion of revenue to digital rights organizations,Change of service risk,none
Account data is stored in encrypted form that only you can decrypt with your password,Data security and Liability,none
The service may use your email for co-marketing with affiliate brands,Personal data usage,medium
The service may require you to complete surveys as a condition of continued access,Access restriction,medium
Users may have no recourse if the service miscalculates billing,Legal remedy limitation,medium
The service may retain de-identified data derived from your account permanently,Personal data usage,medium
The service may require photo ID to restore a locked account,Account responsibility,medium
The service may combine your data with data purchased from data brokers,Personal data usage,medium
The service's arbitration clause may be modified unilaterally in future updates,Policy change risk,medium
You may be prevented from discussing service issues on external forums,Account responsibility,medium
The service may share aggregated behavioral trends with government bodies,Rule usage enforcement,medium
The service may offer reduced features to users who exercise privacy rights,Access restriction,medium
The service may periodically re-verify that your account information is current,Account responsibility,low
You are responsible for ensuring your content does not violate third-party rights,Account responsibility,low
The service may offer users in regulated industries enhanced compliance tools,Change of service risk,low
Content you delete may remain in caches or CDNs for a short technical period,User content rights risk,low
The service may analyze support tickets to improve customer experience,Personal data usage,low
The service may use your purchase history to recommend relevant features,Personal data usage,low
Account inactivity for over two years may result in an archival notice before deletion,Account termination risk,low
The service may introduce mandatory two-factor authentication for high-risk accounts,Account responsibility,low
The service may process metadata about your files but not file contents,Personal data usage,low
The service may use open banking APIs to facilitate payment with your consent,Financial commitment risk,low
The service sells your biometric data including facial geometry to third parties,Personal data usage,high
The service covertly activates audio recording during video sessions,Personal data usage,high
Your behavioral data is used to manipulate the service interface to encourage spending,Personal data usage,high
You cannot revoke consent once given for any data processing activity,Irrevocable rights,high
The service shares your real-time location with all users in your contact list by default,Personal data usage,high
The service accesses your device's stored passwords to verify identity,Personal data usage,high
User data is shared with political intelligence firms to assess influence scores,Personal data usage,high
The service may expose your personal data to undisclosed affiliated companies,Third party dependency risk,high
You consent to the service overriding your device privacy settings,Personal data usage,high
The service can read all notifications on your device including those from other apps,Personal data usage,high
You agree to accept arbitration rulings even if they violate applicable law,Legal remedy limitation,high
The service maintains a permanent behavioral profile that you cannot view or delete,Personal data usage,high
The service uses your data to train AI models that are then licensed to competitors,User content rights risk,high
Your payment card details are stored beyond the duration needed for a transaction,Data security and Liability,high
The service can share your data without limitation following a corporate acquisition,Personal data usage,high
Users waive their right to any form of compensation for data misuse,Legal remedy limitation,high
The service may use your network connections to map social relationships for profiling,Personal data usage,high
The service makes all your posted content irrevocably public by default,User content rights risk,high
This service sells user data to foreign governments on request,Personal data usage,high
You agree to allow the service to conduct psychological profiling for commercial purposes,Personal data usage,high
The service may use your content to create deepfake or synthetic media without consent,User content rights risk,high
Your activity data is continuously shared with law enforcement in real time,Rule usage enforcement,high
The service can permanently ban you from using any future services from the company,Account termination risk,high
All dispute resolution must occur exclusively in a jurisdiction far from where you live,Jurisdiction risk,high
The service charges you for storage used by data it collected without your initiation,Financial commitment risk,high
The service can place advertisements in your private communications interface,Personal data usage,high
You agree that the service owns any intellectual property created using its tools,User content rights risk,high
The service collects and stores voice recordings without disclosing their retention period,Personal data usage,high
The service may disclose your personal data to media organizations,Personal data usage,high
You grant the service the right to use your content in any future technology,Future scope expansion,high
The service reserves the right to retroactively change its liability terms,Policy change risk,high
The service collects your credit score or financial history without disclosure,Personal data usage,high
Users agree that the service has no obligation to protect user data security,Data security and Liability,high
The service logs your precise typing speed and rhythm for biometric identification,Personal data usage,high
The service may access your linked bank accounts without initiating a transaction,Personal data usage,high
The service can copy your account and data to a new entity after restructuring,Personal data usage,high
You agree to be held liable for the actions of all other users on your device,Account responsibility,high
The service may use your biometric data to unlock features for other users,Personal data usage,high
The service can waive your privacy rights on your behalf in dealings with third parties,Legal remedy limitation,high
You agree not to take legal action against the service in any form,Legal remedy limitation,high
The service may record your usage patterns and sell them to your employer on request,Personal data usage,high
The service may install software components that run after you uninstall the app,Personal data usage,high
The service uses voice sentiment analysis to assess your emotional state,Personal data usage,high
The service may involuntarily enroll you in data-sharing programs with government agencies,Rule usage enforcement,high
The service may use your content to place paid advertisements on other platforms,User content rights risk,high
Declining data-sharing requests disables core functionality of the service,Access restriction,high
The service may share your children's data collected via family account features,Personal data usage,high
You grant an irrevocable license to any improvements made to the service using your data,Irrevocable rights,high
The service may collect data about your in-person interactions via nearby device detection,Personal data usage,high
The service tracks your eye movements and attention through camera access,Personal data usage,high
User data is retained indefinitely with no maximum retention period ever stated,Personal data usage,high
The service can modify your past posts without retaining the original version,User content rights risk,high
The service collects information about your household members through account usage data,Personal data usage,high
This service provides a full audit log of every action taken on your account,Data security and Liability,none
The service does not retain personal data of EU users outside the EEA,Jurisdiction risk,none
This service's terms explicitly prohibit discriminatory profiling of any kind,Rule usage enforcement,none
You have the right to receive a copy of all automated decisions made about you,Personal data usage,none
The service offers lifetime data retention guarantees regardless of account status,Change of service risk,none
This service allows you to view and cancel all active third-party integrations,Third party dependency risk,none
The service offers a verifiable warrant canary updated weekly,Rule usage enforcement,none
The service implements data minimization by collecting only what is strictly necessary,Personal data usage,none
All advertising partners are named and publicly listed in the privacy policy,Third party dependency risk,none
This service grants users the right to modify how their data is used at any time,Personal data usage,none
The service has never received a binding order to disclose user data in bulk,Rule usage enforcement,none
Cookies from this service expire within 24 hours by default,Personal data usage,none
The service provides a dedicated email address for privacy rights requests,Change of service risk,none
This service funds independent privacy research about its own practices,Data security and Liability,none
Users can switch to a fully local data storage mode with no cloud synchronization,Personal data usage,none
Content you delete is permanently purged within 72 hours from all servers,User content rights risk,none
The service provides machine-readable privacy policies compliant with P3P standards,Policy change risk,none
The service never shares data with social media platforms or tracking networks,Third party dependency risk,none
This service provides a free legal summary of all its privacy commitments,Policy change risk,none
The service does not use algorithmic filtering on your private communications,Personal data usage,none
The service may adjust content visibility based on your engagement score,Change of service risk,medium
Your device identifiers may be shared with analytics partners,Third party dependency risk,medium
The service may charge different rates for the same service based on inferred wealth,Financial commitment risk,medium
The service may restrict your account without stating which specific term you violated,Account termination risk,medium
Users must accept updates to the terms within 30 days or lose access,Policy change risk,medium
The service may use predictive analytics to pre-emptively limit your account,Account termination risk,medium
The service may use your engagement data to train third-party recommendation algorithms,Personal data usage,medium
Users may be shown different versions of the terms based on their region,Jurisdiction risk,medium
The service may use your past activity to limit access to new features,Access restriction,medium
The service may use data about your family members shared by mutual connections,Personal data usage,medium
The service provides documentation on how to configure privacy settings optimally,Personal data usage,low
The service may analyze content you upload to detect malicious software,Rule usage enforcement,low
The service may record call durations but not call content for billing purposes,Personal data usage,low
The service may ask you to complete a short survey before receiving a refund,Financial commitment risk,low
The service uses standard TLS encryption for all data in transit,Data security and Liability,low
The service may send security alerts if unusual login activity is detected,Data security and Liability,low
You are informed if the service changes the third-party processors it works with,Third party dependency risk,low
The service may make features unavailable during scheduled maintenance windows,Change of service risk,low
The service provides an explanation when a refund request is rejected,Financial commitment risk,low
The service may ask for your phone number to enable account recovery options,Personal data usage,low
The service may sell your real-time location to any interested buyer,Personal data usage,high
Your private photos are scanned to build an advertising profile about you,Personal data usage,high
The service can listen to your microphone at any time without telling you,Personal data usage,high
You cannot delete your data even if you close your account,Personal data usage,high
The service sells your health information to insurance companies,Personal data usage,high
The service records all your messages and stores them forever,Personal data usage,high
Your face is scanned from uploaded photos and stored as a biometric identifier,Personal data usage,high
The service can see all other apps installed on your device,Personal data usage,high
You give up the right to sue the service even if they harm you,Legal remedy limitation,high
The service shares your private messages with advertisers,Personal data usage,high
Your children's data is collected and used for commercial purposes,Personal data usage,high
"The service can change the terms without telling you, and your silence means agreement",Policy change risk,high
Your voting behavior and political beliefs are inferred and shared with third parties,Personal data usage,high
The service permanently bans you from all future products if you violate any rule once,Account termination risk,high
You grant the service ownership of all ideas and inventions you create using their tools,Irrevocable rights,high
"The service tracks every website you visit, even when you're not using it",Personal data usage,high
The service may access your bank account history without asking each time,Personal data usage,high
Your data is shared with foreign governments without a court order,Rule usage enforcement,high
The service uses your content to train AI and claims ownership of the results,User content rights risk,high
Your precise GPS location is recorded every time you open the app,Personal data usage,high
The service can alter or delete your content without ever telling you,User content rights risk,high
You must pay a fee to get a copy of your own personal data,Financial commitment risk,high
The service installs software that keeps running even after you uninstall the app,Personal data usage,high
The service can freeze your money in the account without explanation,Account termination risk,high
Your emotional state is analyzed from your voice and stored in your profile,Personal data usage,high
You agree not to tell anyone what the terms say,Account responsibility,high
The service can use your identity to endorse products in ads shown to your friends,Personal data usage,high
Your mental health data is shared with employers or insurers,Personal data usage,high
The service can lock you out of your paid subscription mid-cycle with no refund,Account termination risk,high
The service logs your typing patterns to uniquely identify you,Personal data usage,high
You waive your right to compensation if the service leaks your data,Legal remedy limitation,high
The service shares your location with every business you walk past,Personal data usage,high
The service can read all other notifications on your phone,Personal data usage,high
Your data is kept and sold even after you request deletion,Personal data usage,high
The service infers your income and adjusts prices specifically for you,Financial commitment risk,high
"The service can share your data with any company it is acquired by, under any terms",Third party dependency risk,high
"All disputes must go through arbitration paid for by the service, which picks the arbitrator",Legal remedy limitation,high
The service tracks which other users you interact with to build a map of your social life,Personal data usage,high
The service records ambient audio when the app is running in the background,Personal data usage,high
You agree to let the service place ads inside your private chat conversations,Personal data usage,high
The service uses your data to generate profiles and sells those to data brokers,Personal data usage,high
Your location history is available to any law enforcement agency that requests it,Rule usage enforcement,high
The service can use your biometric data to authenticate other users,Personal data usage,high
The service may expose personal details from your private profile in search results,Personal data usage,high
"You cannot opt out of the service selling your data, even as a paid subscriber",Personal data usage,high
The service can revoke your account and keep all your stored content,Account termination risk,high
Your personal data is used to predict future behavior and shared with third parties,Personal data usage,high
The service captures screenshots of your screen during app usage,Personal data usage,high
You lose copyright over any creative work posted to this service,User content rights risk,high
The service can sell your contact list to marketing companies,Personal data usage,high
The service shares your personal data with political organizations,Personal data usage,high
The service is not required to tell you if your data was part of a breach,Data security and Liability,high
The service can prevent you from taking legal action by changing jurisdiction,Jurisdiction risk,high
Your data continues to be used after you request account deletion for an undefined period,Personal data usage,high
The service collects information about your offline purchases through partners,Personal data usage,high
"The service can remove any earned rewards, credits, or discounts at any time",Financial commitment risk,high
You agree to pay legal costs if you sue the service and lose,Financial commitment risk,high
You can see a complete list of every third party your data is shared with,Third party dependency risk,none
This service deletes all your data within 48 hours of account deletion,Personal data usage,none
The service has never and will never sell your personal data,Personal data usage,none
You can opt out of every non-essential data collection with one click,Personal data usage,none
The service notifies you by email within 24 hours of any data breach,Data security and Liability,none
All content you post is licensed only for use within this service,User content rights risk,none
This service supports right-to-erasure requests under GDPR and processes them within 30 days,Jurisdiction risk,none
This service does not share your data with any government unless legally compelled by a court,Rule usage enforcement,none
You can turn off data collection entirely and still use the full service,Personal data usage,none
The service stores all your data on servers located in your own country,Jurisdiction risk,none
No automated system can ban your account without a human reviewing the decision first,Account termination risk,none
This service allows you to use a pseudonym and never requires your real name,Account responsibility,none
Your data is encrypted in a way that even the service's own staff cannot read it,Data security and Liability,none
The service publishes its full source code so anyone can verify its privacy claims,Change of service risk,none
All changes to the privacy policy require you to actively agree before they take effect,Policy change risk,none
This service does not display any advertising of any kind,Change of service risk,none
You receive a full refund if you cancel your subscription within the first 30 days,Financial commitment risk,none
The service provides two-factor authentication free of charge to all users,Data security and Liability,none
This service does not collect any data from users under the age of 16,Access restriction,none
The service's data retention policy is capped at a maximum of 12 months,Personal data usage,none
You can revoke any data consent at any time and the change takes effect immediately,Personal data usage,none
This service's privacy practices are certified by an independent third-party auditor,Data security and Liability,none
The service provides a dedicated privacy helpline available seven days a week,Change of service risk,none
All cookies used by this service are optional except the one needed to keep you logged in,Personal data usage,none
This service operates as a nonprofit and has no commercial interest in your data,Change of service risk,none
You are given at least 90 days notice before any significant change to the terms,Policy change risk,none
The service may make its premium features temporarily free to encourage you to upgrade,Change of service risk,medium
Your data may be used to improve features you do not personally use,Personal data usage,medium
The service may transfer your account to a regional partner without your approval,Third party dependency risk,medium
The service may display sponsored content in your personal feed without labeling it clearly,Change of service risk,medium
Your account may be flagged if you use privacy tools such as a VPN,Access restriction,medium
The service may keep partial data after you delete your account for fraud prevention,Personal data usage,medium
The service may share your data in aggregate with industry bodies,Third party dependency risk,medium
The service may charge you if your usage significantly exceeds the average,Financial commitment risk,medium
The service may adjust what content you see based on your account payment status,Change of service risk,medium
The service may contact you by post if you provide a mailing address,Personal data usage,medium
The service reserves the right to reject your username without giving a reason,Account responsibility,medium
The service may limit the number of messages you can send per day,Access restriction,medium
The service may use your interaction history to test new features on you without notice,Change of service risk,medium
The service may restrict access to your data export if you submit requests too frequently,Access restriction,medium
The service may keep your username reserved even after you delete your account,Account responsibility,medium
The service may impose country-specific restrictions that reduce your rights,Jurisdiction risk,medium
The service may use your stored payment method for automatic renewals without a reminder,Financial commitment risk,medium
The service may limit your ability to share content externally from the platform,Access restriction,medium
The service may require additional verification if you use the service from a new device,Account responsibility,medium
The service may apply different community guidelines to users in different countries,Jurisdiction risk,medium
The service may use your account for beta testing without giving you a choice to opt out,Change of service risk,medium
The service may disable your account if it detects unusual login patterns,Account termination risk,medium
Your content may be removed if it is reported by other users regardless of its accuracy,User content rights risk,medium
The service may restrict your ability to delete old posts after a certain period,User content rights risk,medium
The service may not honor refund requests made more than 14 days after purchase,Financial commitment risk,medium
The service may change how your data is used when you move to a different country,Jurisdiction risk,medium
The service may display your account name or activity in public leaderboards,Personal data usage,medium
The service may use third-party tools to detect prohibited activity on your account,Rule usage enforcement,medium
The service may limit features available during a free trial without clear disclosure,Change of service risk,medium
The service may make it difficult to cancel a subscription by requiring a phone call,Account termination risk,medium
The service may transfer your data to a third party following a financial restructuring,Third party dependency risk,medium
The service may use your email for re-engagement campaigns after extended inactivity,Personal data usage,medium
The service may assign you a permanent device fingerprint even in private browsing mode,Personal data usage,medium
The service may make some features inaccessible in regions with strong privacy laws,Jurisdiction risk,medium
The service may retain records of deleted messages for operational purposes,Personal data usage,medium
The service may offer a lower-cost plan that involves more aggressive data collection,Financial commitment risk,medium
The service may use data from your free account to subsidize its paid service,Personal data usage,medium
The service may require acceptance of new terms before accessing previously created content,Policy change risk,medium
The service may record the times and durations of all your sessions permanently,Personal data usage,medium
The service may show you ads for services you searched for before using this platform,Personal data usage,medium
The service may suspend access during disputes over billing without refunding the affected period,Account termination risk,medium
Users may not use automated tools to interact with the service without permission,Account responsibility,low
The service may send you a message when a new feature relevant to your account is added,Change of service risk,low
The service may store encrypted backups of your data in multiple data centers,Data security and Liability,low
You may be asked to confirm your email address again if you change it,Account responsibility,low
The service may use your session data to auto-save your progress,Personal data usage,low
The service may restrict posting frequency to prevent spam,Access restriction,low
The service may ask for consent before enabling location features,Personal data usage,low
The service may use a third-party payment provider governed by separate terms,Third party dependency risk,low
Users under 13 must have a parent or guardian agree to the terms on their behalf,Access restriction,low
The service may store your preferences to personalize your experience,Personal data usage,low
The service may use hashed email addresses for fraud detection purposes,Personal data usage,low
The service may apply rate limits to API access to ensure fair use,Access restriction,low
The service may archive inactive accounts but does not delete them automatically,Account termination risk,low
