text,label,explanation,__index_level_0__
Users have a reduced time period to take legal action against the service,potentially_unfair,"If you wish to bring legal action against a service about a past incident, you may not be able to do so if the Terms you agreed to implied a limited amount of time. As a result it may be worthy to carefully read that section of the Terms to know exactly how much time you might have before your right to take legal action expires.",414
Your personal data is given to third parties,potentially_unfair,Your personal data is or may be given to third parties essential to the service’s operation. This could be an external spam detection service for an internet forum.,417
The service is not responsible for linked or (clearly) quoted content from third-party content providers,potentially_fair,,422
You are allowed to quote their content with attribution,potentially_fair,,429
The terms for this service are easy to read,clearly_fair,"The Agreements are well-organised, define legal terms (where applicable), aren't needlessly long and may be pleasant to read.",430
No logs are being kept,clearly_fair,"Logs are text files containing some information about web visitors, such as user agents (showing for instance that you're connecting from Firefox for Android) and ip addresses (which reveal your approximate location). This case applies to Services that only keep the strictly necessary logs on their servers and therefore protect your privacy.",433
Content is published under a free license instead of a bilateral one,clearly_fair,"User-generated content, such as posts or comments, is published under a free license, meaning other users can reuse it (e.g. Creative Commons license).",434
Usernames can be rejected for any reason,potentially_unfair,"The service's terms explain they may change or remove usernames at their sole discretion, and they may do so without prior notice.",436
Instagram shares information with many third parties,potentially_unfair,,449
Your identity is used in ads that are shown to other users,clearly_unfair,"Ads shown to other users may include a reference to you as an implied endorsement.
Might give away information about your own personal lifestyle to strangers.",453
Very broad copyright license on your content,potentially_unfair,,455
Instagram Court of law is California,potentially_fair,"The Terms are governed by the applicable laws of a jurisdiction (specified in the title of each point by replacing the ""X"").",456
You waive your right to a class action,potentially_unfair,"The right to be represented in a class action (or representative action) exists in the US and some European countries. It allows people who have been similarly injured by the same accused to take legal action by a single lawsuit instead of individually. Some Terms of Service try to limit that right. By agreeing to them, you could waive (= renounce to) your right to a class action, which might reduce your chances to be successful in a case.",457
Tracking via third-party cookies for other purposes without your consent.,potentially_unfair,The service's website sets third-party cookies (cookies that do not belong to their domain) for purposes not including statistics and analytics.,458
This service can delete your content if you violate the terms,potentially_fair,"Content infringing the Terms of Service (or the Acceptable Use Policy or equivalent)  may be removed, with or without notice.",459
The service provides a free help desk,clearly_fair,The service can be easily contacted for questions or provides a support center at no extra cost.,460
The service refers users to external documents for more information,potentially_fair,"The service states that whenever it links to third party websites or applications, its privacy policy does not apply. Those third party websites or applications hosted or operated by other organizations may have their own privacy policies.",461
You can choose with whom you share content,clearly_fair,Users can decide whether or not they want their content to be shared and they can control how and with whom it is shared.,466
This service keeps user logs for an undefined period of time,potentially_unfair,"Logs are text files containing some information about web visitors, such as user agents (showing for instance that you're connecting from Firefox for Android) and ip addresses (which reveal your approximate location). This case applies to Services that may keep logs indefinitely, allowing user sessions to be tracked over time. Logs that are kept for a time ""consistent with applicable law"" also fall under this case, since this period of time may be murky or undefined.",467
They store data on you even if you did not interact with the service,clearly_unfair,"Some services store data on you even if you did not provide that data yourself. For example, users might provide access to their address book, after which a service might also store the phone numbers of that person's contacts.",473
This service is a subsidiary of Facebook,potentially_fair,"The service is a subsidiary of a certain company (called X in the title, to be replaced by the parent Company in each point's title). Company X’s Terms of Service may apply to the service.",494
"Terms may be changed at their discretion, but they will notify you before.",clearly_fair,"Users will be notified a week before the Terms are somehow updated, which lets them a reasonable amount of time to carefully read the changes and perhaps stop using the services if they do not longer agree.",499
The service informs users about the risk of publishing personal info online,clearly_fair,,501
"Users are not allowed to use pseudonyms, as trust and transparency between users regarding their identities is relevant to the service.",potentially_fair,"You must provide your legal name and pseudonyms aren't allowed, but it makes sense for the purposes of this service.",503
"defend, indemnify, hold harmless; survives termination",potentially_fair,,504
Facebook collects a lot of device information through the Instagram App.,potentially_unfair,"The app of the service requires more device permissions than necessary. As a consequence it can compromise your privacy by accessing many functions and information from your device, such as precise location, contacts, device identifiers etc. ",509
"Other applicable rules, terms, conditions or guidelines",potentially_fair,"Use of the service is subject also to an exhaustive list of other documents containing rules, guidelines, terms or policies (in addition to the obvious Terms of Service/Terms of Use and Privacy Policy/Data Use Policy)",511
"Conditions may change, but your continued acceptance is not inferred from an earlier acceptance",potentially_fair,"When you're not logged in to a service, but use it repeatedly, it may still feel weird that their terms and conditions can change between one use and the next. However, this does not violate the rule-of-thumb that each new version should be accepted from scratch, without inferring your acceptance from the acceptance of an earlier version. Since no acceptance is inferred from continued use, but only from current use, we rate this as neutral instead of bad.",514
The service can delete your account  without a reason,potentially_unfair,"At any time, your account can be terminated without explanation and without warning by the service. ",515
The service notice you before closing your account,clearly_fair,"The Terms explain they will notify users at least 30 days before closing their accounts, which allows users to limit the losses and damages caused by this termination.",523
"Apple.com can suspend the Site whenever they want, for any reason",potentially_fair,"They may discontinue the services without prior notice, at any time, for any or no reason. They usually assume no liability for losses and damages resulting from this suspension.",524
The service gives 30 days of notice before closing your account,clearly_fair,"The Terms explain they will notify users at least 30 days before closing their accounts, which allows users to limit the losses and damages caused by this termination.",525
Any liability on behalf of the service is only limited to $ 50.00,potentially_unfair,,530
Content you post may be edited by the service for any reason,clearly_unfair,This service can edit any content on the service for whatever the reason and at their sole discretion.,535
 The service is only available in some countries approved by its government,potentially_unfair,Countries under embargo or banned by the government of the country in question cannot use the service.,537
This service assumes no responsibility and liability for the contents of links to other websites,potentially_fair,The service rejects any responsibility for the contents of other websites to which it links.,538
"The court of law governing the terms is in Santa Clara County, California",potentially_fair,"The Terms are governed by the applicable laws of a jurisdiction (specified in the title of each point by replacing the ""X"").",542
"When the service wants to change its terms, users are notified a month or more in advance",clearly_fair,"The service may update the Terms without notice, but if they significantly change the agreements in a manner that importantly and/or negatively affects the way the service is used, users will be notified at least 30 days in advance.",545
The service can delete specific content without reason and may do it without prior notice,clearly_unfair," This service can delete specific content. Usually they will claim they reserve the right to do it at their sole discretion, which is legalese for saying they won't give a specific reason. If the terms say they will not notify you, it shall be included in the quote but if it does not explicitly say they will give you a notice, it can be reasonably inferred that they can do it without telling you.",546
A complaint mechanism is provided for the handling of personal data,clearly_fair,The service provides users with contact information for an internal or external structure to lodge complaints. It also provides users with contact information for a higher data protection / privacy office in case the internal mechanism fails to satisfy the user.,548
"If you offer suggestions to the service, they become the owner of the ideas that you give them",potentially_unfair,"The service can claim ownership on feedback, proposals, ideas and suggestions submitted by the users, who may waive their ""moral rights"" on that feedback.",549
Information is provided about security practices,clearly_fair,It's important to know what security measures are taken to protect your data from unauthorized access. This case applies to the Agreements that precisely explain their security practices.,556
Only temporary session cookies are used,clearly_fair,Temporary session cookies are cookies that are deleted when you close your browser instead of remaining there until they are manually deleted (or expire). These cookies are only used for the purposes of the service and therefore disappear when it's no longer used.,559
You are not being tracked,clearly_fair,"The document excerpt needs to include the words ""[the service] does not track [users]"" or ""[the service] does not use any tracking technology"".",560
Third parties are not allowed to access your personal information without a legal basis,clearly_fair,,561
This service is only available to users over 13 years of age,potentially_fair,The Services are intended for users who are at least a certain age. If you are younger than the age required then you are prohibited from using the Service.,563
"The court of law governing the terms is in a jurisdiction (Nevada, USA) that is less friendly to user privacy protection ",potentially_unfair,The Terms are governed by the applicable laws of a jurisdiction known for weak data regulations and poor user privacy protection. Usually contributors will need to explain in the Analysis view of each point linked to this Case the reason why it shall be applied.,567
Content removal from the service will be fair and proportionate.,clearly_fair,"The Service promises to fairly terminate users accounts, only with a reason, and may give them an opportunity to explain and defend themselves.",568
Prohibits the publishing of personally identifiable information without the owner’s consent,clearly_fair,"Users agree not to publicly post personally identifiable information (name, postal address, contact information…) without the owner’s knowledge or consent",572
Any liability on behalf of the service is only limited to the fees you paid as a user or $200,potentially_unfair,,576
"This service offers a symbolic but nonbinding statement about a matter of opinion, ethics, society, or politics",clearly_fair,"If a service expresses a worldview antithetical to the user’s, that is a good signal that they should not use the service. Or conversely, if the service expresses an uncommonly-held belief that the user agrees with and thinks is relevant to the service-user relationship and/or important, they may wish to use that to choose between otherwise comparable services.",577
"Users can scrape the site, as long as it doesn't impact the server too much",clearly_fair,Automated web scraping is a method of extracting information from a website. The service authorises scraping if it doesn't impact its server(s) too much.,579
Copyright license limited for the purposes of that same service but transferable and sublicenseable,clearly_fair,,582
The service allows you to use pseudonyms,clearly_fair,You don't need to provide your full name to use the Service and you are allowed to use a pseudonym instead.,586
"You cannot delete your contributions, but it makes sense for this service",potentially_fair,For services that are under an open license where your contributions are for public knowledge (such as Wikipedia and ToS;DR).,587
No third-party analytics or tracking platforms are used,clearly_fair,There are no Google Analytics or other tracking codes embedded in the service.  Any tracking is performed by the service itself.,591
This service provides information on their security practices regarding passwords,clearly_fair,It's important to know what security measures are taken to protect your data from unauthorized access. This case applies to the Agreements that precisely explain their security practices.,593
"Using the service, you acknowledge that reading ToS;DR is in no way a replacement for reading the full terms to which you are bound",potentially_fair,This service makes no warranty regarding the accuracy or reliability of any information that is given on its website or the results that may be obtained from the use of the service.,594
"Instead of asking directly, this Service will assume your consent to changes of terms merely from your usage.",potentially_unfair,"The Service infers your acceptance from your continued usage, instead of prompting you to read the new Terms and asking for direct consent. This doesn’t apply to services that have no way to seek consent from users through their contact details or an account.",595
You sign away moral rights,clearly_unfair,"Moral rights are rights to creators of literary, dramatic, musical and artistic works, as well as directors of films.

""The moral rights include the right of attribution, the right to have a work published anonymously or pseudonymously, and the right to the integrity of the work. The preserving of the integrity of the work allows the author to object to alteration, distortion, or mutilation of the work that is ""prejudicial to the author's honor or reputation"". Anything else that may detract from the artist's relationship with the work even after it leaves the artist's possession or ownership may bring these moral rights into play. Moral rights are distinct from any economic rights tied to copyrights. Even if an artist has assigned his or her copyright rights to a work to a third party, he or she still maintains the moral rights to the work."" -Wikipedia

In general, any terms that use the exact words ""moral rights"" as rights that are waived will fall under this Case.",601
Вы соглашаетесь на передачу персональных данных третьим лицам,potentially_unfair,Your personal data is or may be given to third parties essential to the service’s operation. This could be an external spam detection service for an internet forum.,608
Вы разрешаете использовать ваши данные для рассылки вам рекламы оператором и третьими лицами,potentially_unfair,"Your interaction with the service and data you have shared with them may be gathered to create an advertising ID or profile to target ads on you, either on the website you were visiting or in third party websites.",610
"Many third parties are involved in operating the service (Google, Stripe, Cloudflare, Zendesk)",potentially_unfair,,626
Your data is processed and stored in a country that is friendlier to user privacy protection,clearly_fair,The Terms are governed by the applicable laws of a jurisdiction known for strong data regulations and user privacy protection. Usually contributors will need to explain in the Analysis view of each point linked to this Case the reason why it shall be applied.,627
Extra data may be collected about you through promotions,potentially_unfair,"Additional personal data may be collected through contests, surveys, promotions, petitions or sweepstakes. ",638
This Service provides a list of Third Parties involved in its operation.,clearly_fair,"The Service provides a list detailing the third parties involved, their roles, and may even provide more information.",650
The service does not guarantee that software errors will be corrected,potentially_unfair,Users agree to use the service and its software as provided and accept that any errors within that software may not be corrected.,663
"You are tracked via web beacons, tracking pixels and device fingerprinting",potentially_unfair,"Tracking technologies (such as web beacons, tracking pixels...) are employed on users and/or the service assigns a unique ID to a browser or device to track its behaviour.",667
This service shares your personal data with third parties that are not involved in its operation,potentially_unfair,Your personal data is or may be given to third parties nonessential to the service’s operation. This could be a business partner that receives your data to provide targeted advertisements.,669
A license is kept on user-generated content even after you close your account,potentially_unfair,"The service may still use your content and display it after you stopped using it by closing your account. The case applies to terms requiring users to grant them a perpetual license over that content.
",670
User content can be licensed to third parties,potentially_unfair,"By posting content through the Services, users grant them a transferable and/or sublicensable right, which allows user content to be licensed to third parties.",671
Your content can be distributed through any media known now or in the future,potentially_fair,,672
Your Personal data may be sold unless you opt out if you're a California Resident,potentially_unfair,There is a form to opt-out (typically California's CCPA) of the selling of your personal data. This is a bad a point because there are many services that don't have this form due to not selling your data in the first place.,674
The service is transparent regarding government requests or inquiries that may involve user data.,potentially_fair,Weight was 30.,676
The court of law governing the terms is in location X,potentially_fair,"The Terms are governed by the applicable laws of a jurisdiction (specified in the title of each point by replacing the ""X"").",679
"You are tracked via web beacons, tracking pixels, browser fingerprinting and device fingerprinting",potentially_unfair,"Tracking technologies (such as web beacons, tracking pixels...) are employed on users and/or the service assigns a unique ID to a browser or device to track its behaviour.",696
"In some countries, your identity is used in ads that are shown to other users",clearly_unfair,"Ads shown to other users may include a reference to you as an implied endorsement.
Might give away information about your own personal lifestyle to strangers.",697
Your provided identifiable information is actively checked by the service,potentially_unfair,"The service checks if the required identifiable information you've provided is correct, and may do so on a regular basis. The check measures could be analyzing your browser information and/or providing the identifiable information to a third-party or the authority, thus compromising your anonymity.",700
Your data is processed and stored in a country that is less friendly to user privacy protection,potentially_unfair,"This case means that user data is not anywhere in the world, but somewhere where it is more likely to be obtained and used by government and/or possible data analysts.",704
"You should revisit the privacy policy periodically, although in case of material changes, the service will notify",potentially_fair,"The service may update the Terms without notice, but if they significantly change the agreements in a manner that importantly and/or negatively affects the way the service is used, users will be notified.",706
"In some countries, this service may collect, use, and share location data",potentially_unfair,Location-based information is collected and may be used and/or shared with third parties for purposes not directly related to the services provided (i.e. the Service doesn't rely on the use or share of location data to function properly).,707
"In some countries, your profile is combined across various products",potentially_unfair,"When using multiple services from one same company, they can combine these (unrelated) information sources about you to build up a single richer user profile about you.",709
This service tracks you on other websites and apps,potentially_unfair,"The service may use tracking technologies in third-party websites to track your online activity while you aren't visiting their Site.
",710
"In some countries, sensitive data is collected and shared to target advertising",clearly_unfair,"Sensitive data refers to information requiring special protection, such as health data, political and religious beliefs, ethnic origins, sexual life and financial information. The service collects and shares this data with third parties for advertising or marketing.",711
The cookies used by this service do not contain information that would personally identify you,clearly_fair,"The cookies used only collect anonymous, aggregated data that cannot be linked to a unique identity.",715
You agree to comply with the law of the service's country,potentially_fair,"By using the service, you agree to comply with the applicable laws of the service's jurisdiction, regardless of your location.",719
The court of law governing the terms is in England,potentially_fair,"The Terms are governed by the applicable laws of a jurisdiction (specified in the title of each point by replacing the ""X"").",725
This service takes credit for your content,potentially_unfair,,728
"We may gather other information when you visit our Site or other services, or when you view our online ads",potentially_unfair,"The service may use your personal data for marketing, such as sending you personalised offerings.",731
You can delete your content from this service,clearly_fair,"You can ask the service to remove your content at any time, and it's deleted within a reasonable time.",733
The service claims to be LGPD compliant for Brazilian users,clearly_fair,The service has a different behavior towards users protected by the Lei Geral de Proteção de Dados Pessoais.,747
Your content can be deleted if you violate the terms,potentially_fair,"Content infringing the Terms of Service (or the Acceptable Use Policy or equivalent)  may be removed, with or without notice.",756
This service is only available to users over 18,potentially_fair,The Services are intended for users who are at least a certain age. If you are younger than the age required then you are prohibited from using the Service.,761
Tracking cookies refused will not limit your ability to use the service,clearly_fair,Blocking tracking technologies will not negatively impact your use of the service.,774
This service is only available to users over 13 of age,potentially_fair,The Services are intended for users who are at least a certain age. If you are younger than the age required then you are prohibited from using the Service.,778
This service employs a broad copyright license over user content including the right to distribute through any media,potentially_fair,,799
Spidering or crawling is not allowed,potentially_fair,,815
The court of law governing the terms is in a jurisdiction that is friendlier to user privacy protection.,clearly_fair,The Terms are governed by the applicable laws of a jurisdiction known for protecting citizens privacy with strong data regulations. Usually contributors will need to explain in the Analysis view of each point linked to this Case why the jurisdiction is friendly to user privacy protection.,829
The service's data retention period is kept to the minimum necessary for fulfilling its purposes,clearly_fair,"The service will remove personal data from its systems once it is no longer required. Depending on the type of information and the reason it was collected, data retention periods will vary.",839
User suspension from the service will be fair and proportionate.,clearly_fair,"The Service promises to fairly terminate users accounts, only with a reason, and may give them an opportunity to explain and defend themselves.",844
The service provides a complaint mechanism for the handling of personal data,clearly_fair,The service provides users with contact information for an internal or external structure to lodge complaints. It also provides users with contact information for a higher data protection / privacy office in case the internal mechanism fails to satisfy the user.,851
User logs are deleted after a finite period of time,clearly_fair,"Logs are text files containing some information about web visitors, such as user agents (showing for instance that you're connecting from Firefox for Android) and ip addresses (which reveal your approximate location). This case applies to Services that periodically delete their logs to prevent user sessions being tracked over time.",852
The service provides a complete list of all cookies set by its website,clearly_fair,The service provides users with a complete list of all first and third party cookies its website sets and an explanation of their uses. This information can be valuable for users to make an informed choice whether to allow those cookies.,859
The court of law governing the terms is in Longgang District in Shenzhen City in the People's Republic of China,potentially_fair,"The Terms are governed by the applicable laws of a jurisdiction (specified in the title of each point by replacing the ""X"").",873
The court of law governing the terms is in a jurisdiction that is less friendly to user privacy protection.,potentially_unfair,The Terms are governed by the applicable laws of a jurisdiction known for weak data regulations and poor user privacy protection. Usually contributors will need to explain in the Analysis view of each point linked to this Case the reason why it shall be applied.,875
Critical changes to the terms are made without user involvement,potentially_fair,"They may significantly update the terms at any time and at their sole discretion, meaning for any reason and without necessarily taking into account the interests or suggestions of the users of the Service. ",881
This service respects your browser's Do Not Track (DNT) headers,clearly_fair,This service does respect the browser's Do Not Track header and disables all user tracking if it is enabled.,886
This service can view your browser history,clearly_unfair,"The service can view your search history and the websites you visit, which is an extremely intrusive way of collecting information that may include personal and/or sensitive data.",890
You can request deletion of your data,clearly_fair,"Users have the right to access personal data hold by the Service, correct it and/or permanently delete it. This usually applies to Services GDPR compliants. ",896
This service may share your personal data with third parties that are not involved in its operation,potentially_unfair,Your personal data is or may be given to third parties nonessential to the service’s operation. This could be a business partner that receives your data to provide targeted advertisements.,901
Promises will be kept after a merger or acquisition,clearly_fair,"If the service gets acquired or needs to transfer personal data after a merger, bankruptcy, reorganisation or sale of the services, the data will still be processed in a manner that honours the promises made in the agreements.",911
The posting of pornographic content is prohibited,potentially_fair,"Users are not allowed to post any content of pornographic nature. This includes adult content, things that are sexually explicit, or obscene.",922
"You are prohibited from sending chain letters, junk mail, spam or any unsolicited messages",potentially_fair,"Users are not allowed to use the service for chain letters, junk mail, spamming or any other distribution of content to people who have not agreed to receiving it.",924
This service only uses temporary session cookies,clearly_fair,Temporary session cookies are cookies that are deleted when you close your browser instead of remaining there until they are manually deleted (or expire). These cookies are only used for the purposes of the service and therefore disappear when it's no longer used.,927
You have a reduced time period to take legal action against the service,potentially_unfair,"If you wish to bring legal action against a service about a past incident, you may not be able to do so if the Terms you agreed to implied a limited amount of time. As a result it may be worthy to carefully read that section of the Terms to know exactly how much time you might have before your right to take legal action expires.",936
Logs are kept for an undefined period of time,potentially_unfair,"Logs are text files containing some information about web visitors, such as user agents (showing for instance that you're connecting from Firefox for Android) and ip addresses (which reveal your approximate location). This case applies to Services that may keep logs indefinitely, allowing user sessions to be tracked over time. Logs that are kept for a time ""consistent with applicable law"" also fall under this case, since this period of time may be murky or undefined.",952
only for your individual use,potentially_fair,,965
Specific content can be deleted without reason and may be removed without prior notice,clearly_unfair," This service can delete specific content. Usually they will claim they reserve the right to do it at their sole discretion, which is legalese for saying they won't give a specific reason. If the terms say they will not notify you, it shall be included in the quote but if it does not explicitly say they will give you a notice, it can be reasonably inferred that they can do it without telling you.",981
You are prohibited from attempting to gain unauthorized access to other computer systems,potentially_fair,The service does not allow any attempts at hacking or otherwise gaining unauthorized access to other users' computers.,985
The service suspends your account after inactivity for a certain or uncertain time,potentially_fair,,990
"Defend, indemnify, hold harmless; survives termination",potentially_fair,,992
"You aren’t forced into binding arbitration in case of disputes, but only if you opt out",clearly_fair,"Binding Arbitration is a dispute resolution method involving a neutral third party which will render a decision instead of going to court. Since the arbitrator can decide the outgoing of a dispute without evidences or a legal basis, it is preferable that users decide whether they want or not their dispute to be resolved this way.",1001
"Third party cookies are employed, but with opt out instructions",potentially_unfair,,1006
This service only shares user information with third parties when given specific consent,clearly_fair,The service does not share user information with any third parties unless users specifically give it permission to do so.,1028
The service provides two factor authentification for your account,clearly_fair,"The service provides means of further securing your account with two factor authentification, thus greatly improving account security.",1029
The service is open-source,clearly_fair,The code of the software is open-source and the users can have access to the source code.,1032
Logs are deleted after a finite period of time,clearly_fair,"Logs are text files containing some information about web visitors, such as user agents (showing for instance that you're connecting from Firefox for Android) and ip addresses (which reveal your approximate location). This case applies to Services that periodically delete their logs to prevent user sessions being tracked over time.",1034
Harming minors in any ways is prohibited,potentially_fair,"This service prohibits harming minor in any ways. Since both “minor” and “in any ways” are vague and can be cited to restrict possibly any actions, the case is not classified as “good”.",1044
You are prohibited from posting content which promotes violence or politically or religiously extremist values.,potentially_fair,Users are not allowed to post extremist political or religious content. They are also not allowed to post content that glorifies violence.,1046
Your account can be suspended for several reasons,potentially_fair,,1050
"Per the service's terms, you may not express negative opinions about them",potentially_unfair,"Criticising, questioning, making objections or complaints about the Service, its staff or anything related to it is prohibited and constitutes a breach of the Terms.",1052
"The court of law governing the terms is in a jurisdiction that is less friendly to user privacy protection (Texas, USA)",potentially_unfair,The Terms are governed by the applicable laws of a jurisdiction known for weak data regulations and poor user privacy protection. Usually contributors will need to explain in the Analysis view of each point linked to this Case the reason why it shall be applied.,1058
You aren’t forced into binding arbitration in case of disputes,clearly_fair,"Binding Arbitration is a dispute resolution method involving a neutral third party which will render a decision instead of going to court. Since the arbitrator can decide the outgoing of a dispute without evidences or a legal basis, it is preferable that users decide whether they want or not their dispute to be resolved this way.",1060
The service promises to inform and/or notify you regarding government inquiries that may involve your personal data,clearly_fair,"In case the Government governing the Terms requests personal data of a user of this service, they will make reasonable efforts to inform/notify the user (e.g. warrant canary).",1065
Only aggregate data is given to third parties,potentially_fair,"The Service only shares your information in an aggregated form, which means an anonymized form
that can't be linked to a unique identity.",1135
This service is only available to users over an age of 13,potentially_fair,The Services are intended for users who are at least a certain age. If you are younger than the age required then you are prohibited from using the Service.,1149
You must be 18 years of age or older to use Talking Friends online store to purchase products (such as toys),potentially_fair,The Services are intended for users who are at least a certain age. If you are younger than the age required then you are prohibited from using the Service.,1150
The court of law governing the terms is in Cyprus,potentially_fair,"The Terms are governed by the applicable laws of a jurisdiction (specified in the title of each point by replacing the ""X"").",1154
"When the service wants to change its terms, you are notified a week or more in advance.",clearly_fair,"Users will be notified a week before the Terms are somehow updated, which lets them a reasonable amount of time to carefully read the changes and perhaps stop using the services if they do not longer agree.",1172
You agree to indemnify and hold the service harmless in case of a claim related to your use of the service,potentially_fair,"You are responsible for your use of the service. If a claim arises related to that use, you agree to indemnify and hold the service harmless.
If users are also required to defend the service, see Case 146 instead.",1177
Your personal data is not shared with third parties,clearly_fair,Information collected from users by this service is not given to third parties.,1192
You cannot opt out of promotional communications,potentially_unfair,This applies to cases where opting out of promotional communications requires sending a written letter by mail or is otherwise more complicated and time consuming than necessary.,1200
The court of law governing the terms is in Massachusetts,potentially_fair,"The Terms are governed by the applicable laws of a jurisdiction (specified in the title of each point by replacing the ""X"").",1208
You can opt out of providing personal information to third parties,clearly_fair,The Service provides opt-out instructions to the share of (some) personal information with third parties.,1209
This service is a subsidiary of Microsoft,potentially_fair,"The service is a subsidiary of a certain company (called X in the title, to be replaced by the parent Company in each point's title). Company X’s Terms of Service may apply to the service.",1221
"This service employs third-party cookies, but with opt-out instructions",potentially_unfair,,1227
The service can intervene in user disputes,potentially_fair,"If you have a dispute with another user on this service, they can review the issue and intervene. However, they don't have an obligation to do so.

",1242
The service has a no refund policy,potentially_fair,Payments are final and can't be refunded unless required by law.,1271
This service provides archives of their terms of service so that changes can be viewed over time,clearly_fair,"This case applies to Services whose agreements provide previous versions, so that users can compare them and understand how the Service seems to evolve regarding user rights.",1272
The service can create derivative works from Your Content and distribute it on any media and/or distribute Your Content on any media,potentially_fair,,1280
"This service has a no refund policy, except as required by applicable law.",potentially_fair,Payments can be refunded if some requirements are fulfilled.,1291
 A list of all cookies set by the website is provided,clearly_fair,The service provides users with a complete list of all first and third party cookies its website sets and an explanation of their uses. This information can be valuable for users to make an informed choice whether to allow those cookies.,1293
Two factor authentication is provided for your account,clearly_fair,"The service provides means of further securing your account with two factor authentification, thus greatly improving account security.",1295
Information is provided about what kind of information they collect,clearly_fair,The Privacy Policy describes in detail the data collected through the website and through the services provided.,1302
This service is only available to users over 16 years old,potentially_fair,The Services are intended for users who are at least a certain age. If you are younger than the age required then you are prohibited from using the Service.,1309
The service will resist legal requests for your information where reasonably possible,clearly_fair,"The service will attempt to protect user information to a great extent, even so far as stating that they will only follow legal requirements to disclose user information in circumstances where this cannot be reasonably resisted.",1330
Archives of their agreements are provided so that changes can be viewed over time,clearly_fair,"This case applies to Services whose agreements provide previous versions, so that users can compare them and understand how the Service seems to evolve regarding user rights.",1334
Any liability on behalf of the service is only limited to the fees you paid as a user or $100,potentially_unfair,,1348
This service is only available to users over a 13 years of age,potentially_fair,The Services are intended for users who are at least a certain age. If you are younger than the age required then you are prohibited from using the Service.,1355
This service throttles your use,potentially_unfair,"The service may impose limits or restrictions to the use of the service, thus negatively impacting users experience. They may do so without reason or prior notice.",1357
"Per the service's terms, users may not express negative opinions about them",potentially_unfair,"Criticising, questioning, making objections or complaints about the Service, its staff or anything related to it is prohibited and constitutes a breach of the Terms.",1361
App required for this service requires broad device permissions,potentially_unfair,"The app of the service requires more device permissions than necessary. As a consequence it can compromise your privacy by accessing many functions and information from your device, such as precise location, contacts, device identifiers etc. ",1375
The services will notify users if personal data has been affected by data breaches,clearly_fair,"Should the personal information of a service be compromised, the service will inform users if any personal data has been affected by data breaches. This case is also related to privacy.",1386
The service makes critical changes to its terms without user involvement,potentially_fair,"They may significantly update the terms at any time and at their sole discretion, meaning for any reason and without necessarily taking into account the interests or suggestions of the users of the Service. ",1394
Users are free to choose the type of copyright license that they want to use over their content,clearly_fair,You have the right to choose or change the copyright license over content you publish through the Service.,1396
"The court of law governing the terms is in King County, WA, USA.",potentially_fair,"The Terms are governed by the applicable laws of a jurisdiction (specified in the title of each point by replacing the ""X"").",1405
The court of law governing the terms is in France,potentially_fair,"The Terms are governed by the applicable laws of a jurisdiction (specified in the title of each point by replacing the ""X"").",1422
"When the service wants to change its terms, users are notified 30 days in advance",clearly_fair,"Users will be notified a week before the Terms are somehow updated, which lets them a reasonable amount of time to carefully read the changes and perhaps stop using the services if they do not longer agree.",1423
This service may force users into binding arbitration in the case of disputes,potentially_unfair,This service forces users to use their own contracted arbitrator and forces users to waive their rights to jury trial.,1427
"[PrivateBin and Nextcloud] User-generated content is encrypted, and this service cannot decrypt it",clearly_fair,"Content generated by the users is end-to-end encrypted, in a way that it can't be accessed by anyone unauthorised, and even the service has no technical means to decrypt it.",1453
Service can block or censor user communications,potentially_unfair,"The service reserves the right, for any or no reason, to refuse to post or reject user communications.",1458
Some personal data may be kept after the end of the data retention period or a request for erasure,potentially_unfair,"After the end of the data retention period and/or if you request the deletion of your data, they may still keep it for business interests (fraud detection, transactions...) or legal obligations (tax, legal reporting...)",1466
"The court of law governing the terms is in Madrid, Spain",potentially_fair,"The Terms are governed by the applicable laws of a jurisdiction (specified in the title of each point by replacing the ""X"").",1474
No guarantee is given regarding quality,potentially_fair,The Service doesn't warrant or guarantee the quality of the products or services provided.,1492
This service provides a way for you to export your data,clearly_fair,,1500
